year,title,url,reviews,audience_score,tomatometer,synopsis,rating,genre,original_language,director,producer,writer,release_date_theaters,release_date_streaming,runtime,distributor,aspect_ratio,production_co,split_runtime_hours,split_runtime_mins,runtime_mins
2020,The Forty-Year-Old Version,/m/the_forty_year_old_version,131,71,99.0,A struggling New York City playwright finds inspiration by reinventing herself as a rapper.,R (Some Drug Use|Brief Nudity|Sexual Content|Pervasive Language),"Comedy, 
                        
                        Drama, 
                        
                        Music",English,Radha Blank,"Fraser Ash, 



Niv Fichman, 



Kevin Krikst, 



Andrew Starke",Radha Blank,2020-10-16,2020-10-09,2h 3m,Netflix,Scope (2.351),Pixar,2.0,3.0,123.0
2020,Time,/m/time_2020,124,50,98.0,"Entrepreneur Fox Rich spends the last two decades campaigning for the release of her husband, Rob G. Rich, who is serving a 60-year prison sentence for a robbery they both committed in the early 1990s in a moment of desperation.",PG-13 (Some Strong Language),Documentary,English,Garrett Bradley,"Garrett Bradley, 



Lauren Domino, 



Kellen Quinn",Radha Blank,2020-10-09,2020-10-16,1h 21m,Amazon Studios,Scope (2.351),Pixar,1.0,21.0,81.0
2020,Totally Under Control,/m/totally_under_control,102,84,99.0,Public health officials discuss the U.S. government's response to the COVID-19 pandemic.,PG-13 (Some Strong Language),Documentary,English,"Alex Gibney, 



Ophelia Harutyunyan, 



Suzanne Hillinger","Alex Gibney, 



Ophelia Harutyunyan, 



Suzanne Hillinger",Alex Gibney,2020-10-09,2020-10-13,2h 3m,Amazon Studios,Scope (2.351),Pixar,2.0,3.0,123.0
2020,Saint Frances,/m/saint_frances,102,75,99.0,"After an abortion, a deadbeat nanny finds friendship with the 6-year-old she's hired to watch.",PG-13 (Some Strong Language),"Comedy, 
                        
                        Drama",English,Alex Thompson,James Choi,Kelly O'Sullivan,2020-02-28,2020-05-03,1h 46m,Oscilloscope Laboratories,Scope (2.351),Pixar,1.0,46.0,106.0
2020,Blow the Man Down,/m/blow_the_man_down,123,73,98.0,"Welcome to Easter Cove, a salty fishing village on the far reaches of Maine's rocky coast. Grieving the loss of their mother and facing an uncertain future, Mary Beth & Priscilla Connolly cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deeper into Easter Cove's underbelly and uncover the town matriarchs' darkest secrets.",R (Language and Brief Drug Use|Some Language|Sexual Material),"Comedy, 
                        
                        Drama",English,"Bridget Savage Cole, 



Danielle Krudy","Drew P. Houpt, 



Alex Scharfman, 



Lucas Joaquin","Bridget Savage Cole, 



Danielle Krudy",2020-02-28,2020-03-17,1h 30m,Oscilloscope Laboratories,Scope (2.351),Pixar,1.0,30.0,90.0
2020,Onward,/m/onward,337,95,88.0,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries. But when dear Mom finds out her sons are missing, she teams up with the legendary manticore to bring her beloved boys back home.",PG (Some Mild Thematic Elements|Action/Peril),"Comedy, 
                        
                        Animation, 
                        
                        Adventure, 
                        
                        Fantasy, 
                        
                        Kids & family",English,Dan Scanlon,Kori Rae,"Dan Scanlon, 



Jason Headley, 



Keith Bunin",2020-03-06,2020-03-06,1h 43m,Walt Disney,Scope (2.351),Pixar,1.0,43.0,103.0
2020,The Personal History of David Copperfield,/m/the_personal_history_of_david_copperfield,245,54,92.0,The life of David Copperfield is chronicled from his youth into adulthood.,PG (Thematic Material|Brief Violence),"Comedy, 
                        
                        Drama",English (United Kingdom),Armando Iannucci,"Armando Iannucci, 



Kevin Loader",Simon Blackwell,2020-08-28,2020-11-17,1h 59m,Searchlight Pictures,Scope (2.351),Pixar,1.0,59.0,119.0
2020,The Vast of Night,/m/the_vast_of_night,245,66,93.0,"In the 1950s, two kids search for the source of a mysterious frequency that has descended on their town.",PG-13 (Brief Strong Language),"Fantasy, 
                        
                        Mystery & thriller",English,Andrew Patterson,"Adam Dietrich, 



Melissa Kirkendall, 



James Montague",James Montague,2020-05-15,2020-05-31,1h 30m,Amazon Studios,Scope (2.351),Pixar,1.0,30.0,90.0
2020,Welcome to Chechnya,/m/welcome_to_chechnya,72,87,100.0,"Activists risk their lives to confront Russian leader Ramzan Kadyrov and his government-directed campaign to detain, torture and execute LGBTQ Chechens.",PG-13 (Brief Strong Language),"Lgbtq+, 
                        
                        Documentary",Russian,David France,"David France, 



Alice Henty, 



Askold Kurov, 



Joy A. Tomchin",David France,2020-05-15,2020-07-03,1h 47m,Amazon Studios,Scope (2.351),Pixar,1.0,47.0,107.0
2020,All In: The Fight for Democracy,/m/all_in_the_fight_for_democracy,66,69,100.0,Filmmakers Liz Garbus and Lisa Cortes examine the history of voter suppression and the activists who fight for the rights of U.S. citizens.,PG-13,Documentary,English,"Lisa Cortes, 



Liz Garbus","Stacey Abrams, 



Dan Cogan, 



Lisa Cortes, 



Liz Garbus",Jack Youngelson,2020-09-09,2020-09-18,1h 42m,Amazon Studios,Scope (2.351),Pixar,1.0,42.0,102.0
